ESCS,PVxSCIE,REGION
-1.9272,325.7823,Americas
-0.2156,405.6889,Europe
0.1308,563.9363,Europe
-0.6007,412.713,Americas
-1.374,388.2612,Europe
-1.1514,420.3604,Europe
-2.0097,420.9744,Asia
-0.9393,522.6116,Asia
0.8853,415.9401,Europe
-0.1258,364.6506,Asia
-0.6305,406.2606,Europe
0.5897,391.1921,Europe
0.2617,596.9455999999999,Asia
-2.0187,390.2941,Asia
-1.1277,312.9389,Europe
0.7079,402.4833,Europe
-0.9675,415.37970000000007,Europe
-1.3709,545.5112,Otro
0.3228,394.5378999999999,Europe
0.1127,572.405,Europe
-0.8225,452.1239,Asia
1.3653,528.5644,Europe
0.0364,660.6475,Asia
-0.3983,539.0259,Americas
-0.973,484.8607,Europe
-1.4286,320.7635,Africa
-1.5433,437.9737999999999,Americas
-2.3587,404.7659,Americas
-1.1748,481.0238000000001,Europe
-3.3566,321.6222,Africa
-0.0225,317.5576,Americas
-0.0718,334.42240000000004,Asia
-0.6936,399.0549,Europe
-0.1118,448.6976,Asia
1.6172,384.9955,Europe
-0.4876,476.35390000000007,Asia
-1.9087,463.8926,Europe
0.8742,500.2599,Europe
1.1309,622.4466,Europe
1.2615,623.6419000000001,Oceania
-0.9155,482.882,Europe
